iter	Passed	Remaining
0	138	138126
1	139	69453
2	139	46449
3	140	34982
4	141	28145
5	141	23518
6	142	20234
7	143	17749
8	143	15820
9	144	14310
10	145	13039
11	145	11982
12	146	11085
13	146	10316
14	146	9652
15	147	9082
16	148	8572
17	148	8114
18	149	7708
19	149	7338
20	150	7005
21	150	6701
22	151	6425
23	151	6170
24	152	5940
25	152	5723
26	153	5522
27	153	5336
28	154	5164
29	154	5006
30	155	4855
31	155	4716
32	156	4586
33	157	4461
34	157	4343
35	158	4233
36	158	4127
37	159	4026
38	159	3931
39	160	3840
40	160	3753
41	160	3672
42	161	3596
43	162	3526
44	162	3457
45	163	3391
46	164	3326
47	164	3266
48	165	3206
49	165	3149
50	166	3093
51	166	3040
52	167	2988
53	167	2939
54	168	2891
55	168	2844
56	169	2799
57	169	2756
58	170	2714
59	170	2673
60	171	2637
61	171	2599
62	172	2563
63	173	2531
64	173	2496
65	174	2462
66	174	2430
67	174	2397
68	175	2367
69	175	2337
70	176	2310
71	177	2282
72	177	2257
73	178	2231
74	178	2205
75	179	2180
76	179	2155
77	180	2130
78	180	2106
79	181	2083
80	181	2060
81	182	2038
82	182	2014
83	183	1997
84	183	1977
85	184	1959
86	184	1940
87	185	1921
88	185	1902
89	186	1884
90	186	1866
91	187	1848
92	187	1831
93	188	1814
94	188	1797
95	189	1781
96	189	1765
97	190	1750
98	190	1734
99	191	1719
100	191	1705
101	192	1691
102	192	1678
103	193	1664
104	193	1650
105	194	1637
106	194	1624
107	195	1613
108	195	1602
109	196	1590
110	197	1579
111	197	1568
112	198	1558
113	199	1546
114	199	1537
115	200	1527
116	200	1515
117	202	1510
118	202	1500
119	203	1490
120	203	1481
121	204	1471
122	205	1461
123	205	1452
124	206	1442
125	206	1433
126	207	1423
127	207	1414
128	208	1405
129	208	1397
130	209	1387
131	209	1378
132	210	1370
133	210	1361
134	211	1352
135	211	1344
136	212	1335
137	212	1327
138	213	1319
139	213	1311
140	214	1303
141	214	1294
142	214	1287
143	215	1279
144	215	1271
145	216	1264
146	216	1257
147	217	1249
148	217	1242
149	218	1235
150	218	1228
151	219	1221
152	219	1215
153	219	1208
154	220	1201
155	221	1196
156	221	1190
157	222	1183
158	222	1177
159	223	1171
160	223	1164
161	224	1159
162	224	1153
163	225	1148
164	226	1145
165	226	1140
166	227	1134
167	227	1128
168	228	1123
169	228	1117
170	229	1111
171	229	1106
172	230	1100
173	230	1095
174	231	1090
175	231	1084
176	232	1079
177	232	1074
178	233	1069
179	233	1064
180	234	1059
181	234	1054
182	235	1049
183	235	1044
184	235	1039
185	236	1034
186	236	1030
187	237	1025
188	237	1020
189	238	1016
190	238	1012
191	239	1008
192	240	1003
193	240	999
194	241	995
195	241	991
196	242	987
197	242	983
198	243	979
199	243	975
200	244	971
201	244	967
202	245	963
203	246	960
204	246	956
205	247	952
206	247	948
207	248	945
208	248	941
209	249	938
210	249	934
211	250	931
212	251	927
213	251	923
214	251	919
215	252	915
216	253	913
217	253	909
218	254	906
219	254	902
220	255	899
221	255	895
222	255	891
223	256	888
224	256	884
225	257	881
226	257	878
227	258	874
228	258	871
229	259	867
230	259	864
231	260	861
232	260	857
233	261	854
234	261	851
235	262	848
236	262	844
237	262	841
238	263	838
239	263	835
240	264	832
241	264	829
242	265	826
243	265	824
244	266	821
245	267	818
246	267	815
247	267	812
248	268	809
249	268	806
250	269	803
251	269	800
252	270	797
253	270	794
254	271	791
255	271	789
256	271	786
257	272	783
258	272	780
259	273	777
260	273	775
261	274	772
262	274	769
263	275	767
264	275	764
265	276	761
266	276	759
267	276	756
268	277	753
269	277	751
270	278	748
271	278	746
272	279	743
273	279	741
274	280	739
275	280	736
276	281	734
277	281	732
278	282	729
279	282	727
280	283	725
281	283	722
282	284	720
283	284	717
284	285	715
285	285	713
286	286	710
287	286	708
288	287	706
289	287	703
290	287	701
291	288	699
292	288	696
293	289	694
294	289	692
295	290	690
296	290	688
297	291	686
298	291	684
299	292	681
300	292	679
301	293	677
302	293	675
303	294	673
304	294	672
305	295	670
306	296	668
307	296	666
308	296	664
309	297	662
310	297	660
311	298	657
312	298	656
313	299	654
314	299	652
315	300	649
316	300	648
317	301	646
318	301	644
319	302	641
320	302	640
321	303	638
322	303	636
323	303	634
324	304	632
325	304	630
326	305	628
327	305	626
328	306	624
329	306	622
330	307	620
331	307	618
332	308	617
333	308	615
334	309	613
335	309	611
336	309	609
337	310	608
338	310	606
339	311	604
340	311	602
341	312	600
342	312	599
343	313	597
344	313	595
345	314	593
346	314	592
347	315	590
348	315	588
349	315	586
350	316	585
351	316	583
352	317	581
353	317	579
354	318	578
355	318	576
356	319	575
357	319	573
358	320	572
359	320	570
360	321	568
361	321	567
362	322	565
363	322	563
364	323	562
365	323	561
366	324	560
367	325	558
368	325	557
369	326	555
370	326	554
371	327	552
372	328	551
373	328	550
374	329	548
375	329	546
376	329	545
377	330	543
378	330	542
379	331	540
380	331	539
381	332	537
382	332	536
383	333	534
384	333	532
385	334	531
386	334	529
387	335	528
388	335	526
389	335	525
390	336	523
391	336	522
392	337	521
393	337	519
394	338	518
395	338	516
396	339	515
397	339	514
398	340	512
399	340	511
400	341	510
401	341	508
402	342	507
403	342	505
404	343	504
405	343	503
406	344	501
407	344	500
408	345	499
409	345	497
410	346	496
411	346	495
412	347	493
413	347	492
414	348	491
415	348	489
416	349	488
417	349	487
418	350	485
419	350	484
420	351	483
421	351	481
422	352	480
423	352	479
424	353	478
425	353	476
426	354	475
427	354	474
428	355	473
429	355	471
430	356	470
431	356	469
432	357	468
433	357	466
434	358	465
435	358	464
436	359	463
437	359	461
438	360	460
439	360	459
440	361	457
441	361	456
442	362	455
443	362	454
444	363	452
445	363	451
446	364	450
447	364	449
448	365	448
449	365	447
450	366	446
451	367	445
452	367	443
453	368	442
454	368	441
455	369	440
456	369	439
457	370	438
458	370	437
459	371	435
460	372	435
461	372	433
462	373	432
463	373	431
464	374	430
465	374	429
466	375	428
467	375	426
468	376	425
469	376	424
470	376	423
471	377	422
472	378	421
473	378	419
474	378	418
475	379	417
476	379	416
477	380	415
478	380	414
479	381	413
480	381	412
481	382	410
482	382	409
483	383	408
484	383	407
485	384	406
486	384	405
487	385	404
488	386	403
489	386	402
490	387	401
491	387	400
492	388	399
493	388	398
494	389	397
495	389	396
496	390	395
497	390	394
498	391	393
499	391	391
500	392	390
501	393	389
502	393	388
503	394	387
504	394	386
505	395	385
506	395	384
507	396	383
508	396	382
509	397	381
510	397	380
511	398	379
512	398	378
513	399	377
514	399	376
515	400	375
516	401	374
517	401	374
518	402	373
519	403	372
520	403	371
521	404	370
522	404	369
523	405	368
524	405	367
525	406	366
526	406	365
527	407	364
528	408	363
529	408	362
530	409	361
531	409	360
532	410	359
533	410	358
534	411	357
535	411	356
536	412	355
537	412	354
538	413	353
539	413	352
540	414	351
541	414	350
542	415	349
543	415	348
544	416	347
545	416	346
546	417	345
547	417	344
548	418	343
549	418	342
550	418	341
551	419	340
552	419	339
553	420	338
554	420	337
555	421	336
556	421	335
557	422	334
558	422	333
559	423	332
560	423	331
561	424	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	325
567	427	324
568	427	323
569	428	322
570	428	322
571	429	321
572	430	320
573	430	319
574	431	318
575	431	317
576	432	316
577	432	315
578	433	315
579	433	314
580	434	313
581	434	312
582	435	311
583	435	310
584	436	309
585	437	308
586	437	307
587	438	306
588	438	306
589	439	305
590	439	304
591	440	303
592	440	302
593	441	301
594	441	300
595	442	299
596	443	299
597	443	298
598	444	297
599	445	296
600	445	296
601	446	295
602	446	294
603	447	293
604	448	292
605	448	291
606	449	290
607	449	290
608	450	289
609	450	288
610	451	287
611	452	286
612	452	285
613	453	284
614	453	283
615	453	282
616	454	282
617	454	281
618	455	280
619	455	279
620	456	278
621	456	277
622	457	276
623	457	275
624	458	274
625	458	274
626	459	273
627	459	272
628	460	271
629	460	270
630	461	269
631	461	268
632	462	268
633	462	267
634	463	266
635	463	265
636	464	264
637	464	263
638	465	262
639	465	261
640	466	261
641	466	260
642	466	259
643	467	258
644	467	257
645	468	256
646	468	255
647	469	254
648	469	254
649	470	253
650	470	252
651	471	251
652	471	250
653	471	249
654	472	248
655	472	247
656	473	247
657	473	246
658	474	245
659	474	244
660	475	243
661	475	242
662	476	242
663	476	241
664	477	240
665	477	239
666	478	238
667	478	237
668	479	237
669	480	236
670	480	235
